product_id_public,canonical_product_id,product_label_en,translation_status_public,sensitive_label,privacy_flags
P0061,P0061,Product P0061,translation_pending,False,
P0062,P0062,Product P0062,translation_pending,False,
P0063,P0063,Product P0063,translation_pending,False,
P0064,P0064,Product P0064,translation_pending,False,
P0065,P0065,Product P0065,translation_pending,False,
P0066,P0066,Product P0066,translation_pending,False,
P0067,P0067,Product P0067,translation_pending,False,
P0068,P0068,Product P0068,translation_pending,False,
P0069,P0069,Product P0069,translation_pending,False,
P0070,P0070,"Caru' cu Flori potatoes, 180 g",reviewed,False,
P0071,P0071,Product P0071,translation_pending,False,
P0072,P0072,"French fries, 180 g",reviewed,False,
P0073,P0073,Product P0073,translation_pending,False,
P0074,P0074,Product P0074,translation_pending,False,
P0075,P0075,Product P0075,translation_pending,False,
P0076,P0076,"Grilled pork neck, 150 g",reviewed,False,
P0077,P0077,Product P0077,translation_pending,False,
P0078,P0078,Product P0078,translation_pending,False,
P0079,P0079,Product P0079,translation_pending,False,
P0080,P0080,Product P0080,translation_pending,False,
P0081,P0081,Product P0081,translation_pending,False,
P0082,P0082,"Tripe soup, 300/100 g",reviewed,False,
P0083,P0083,Product P0083,translation_pending,False,
P0084,P0084,Product P0084,translation_pending,False,
P0085,P0085,Product P0085,translation_pending,False,
P0086,P0086,Product P0086,translation_pending,False,
P0087,P0087,Product P0087,translation_pending,False,
P0088,P0088,Product P0088,translation_pending,False,
P0089,P0089,Product P0089,translation_pending,False,
P0090,P0090,Product P0090,translation_pending,False,
P0091,P0091,Product P0091,translation_pending,False,
P0092,P0092,Product P0092,translation_pending,False,
P0093,P0093,Product P0093,translation_pending,False,
P0094,P0094,Product P0094,translation_pending,False,
P0095,P0095,Product P0095,translation_pending,False,
P0096,P0096,Product P0096,translation_pending,False,
P0097,P0097,Product P0097,translation_pending,False,
P0098,P0098,Product P0098,translation_pending,False,
P0099,P0099,Product P0099,translation_pending,False,
P0100,P0100,Product P0100,translation_pending,False,
P0101,P0101,Product P0101,translation_pending,False,
P0102,P0102,Product P0102,translation_pending,False,
P0103,P0103,Product P0103,translation_pending,False,
P0104,P0104,Product P0104,translation_pending,False,
P0105,P0105,Product P0105,translation_pending,False,
P0106,P0106,Product P0106,translation_pending,False,
P0107,P0107,Product P0107,translation_pending,False,
P0108,P0108,Product P0108,translation_pending,False,
P0109,P0109,Product P0109,translation_pending,False,
P0110,P0110,Product P0110,translation_pending,False,
P0111,P0111,Product P0111,translation_pending,False,
P0112,P0112,Product P0112,translation_pending,False,
P0113,P0113,Product P0113,translation_pending,False,
P0114,P0114,Product P0114,translation_pending,False,
P0115,P0115,Product P0115,translation_pending,False,
P0116,P0116,Product P0116,translation_pending,False,
P0117,P0117,Product P0117,translation_pending,False,
P0118,P0118,Product P0118,translation_pending,False,
P0119,P0119,Product P0119,translation_pending,False,
P0120,P0120,Product P0120,translation_pending,False,
P0121,P0121,Product P0121,translation_pending,False,
P0122,P0122,Product P0122,translation_pending,False,
P0123,P0123,Product P0123,translation_pending,False,
P0124,P0124,Product P0124,translation_pending,False,
P0125,P0125,Product P0125,translation_pending,False,
P0126,P0126,Product P0126,translation_pending,False,
P0127,P0127,Product P0127,translation_pending,False,
P0128,P0128,Product P0128,translation_pending,False,
P0129,P0129,Product P0129,translation_pending,False,
P0130,P0130,Product P0130,translation_pending,False,
P0131,P0131,Product P0131,translation_pending,False,
P0132,P0132,Product P0132,translation_pending,False,
P0133,P0133,Product P0133,translation_pending,False,
P0134,P0134,Product P0134,translation_pending,False,
P0135,P0135,Product P0135,translation_pending,False,
P0136,P0136,Product P0136,translation_pending,False,
P0137,P0137,Product P0137,translation_pending,False,
P0138,P0138,Product P0138,translation_pending,False,
P0139,P0139,Product P0139,translation_pending,False,
P0140,P0140,Product P0140,translation_pending,False,
P0141,P0141,Product P0141,translation_pending,False,
P0142,P0142,Product P0142,translation_pending,False,
P0143,P0143,Product P0143,redacted_sensitive_review_required,True,contains_date
P0144,P0144,Product P0144,translation_pending,False,
P0145,P0145,Product P0145,translation_pending,False,
P0146,P0146,Product P0146,redacted_sensitive_review_required,True,possible_private_event
P0147,P0147,Product P0147,translation_pending,False,
P0148,P0148,Product P0148,translation_pending,False,
P0149,P0149,"Beck's draught beer, 0.4 L",reviewed,False,
P0150,P0150,Product P0150,translation_pending,False,
P0151,P0151,Product P0151,translation_pending,False,
P0152,P0152,"Stella Artois draught beer, 0.4 L",reviewed,False,
P0153,P0153,Product P0153,translation_pending,False,
P0154,P0154,Product P0154,translation_pending,False,
P0155,P0155,Product P0155,translation_pending,False,
P0156,P0156,Product P0156,translation_pending,False,
P0157,P0157,Product P0157,translation_pending,False,
P0158,P0158,Product P0158,translation_pending,False,
P0159,P0159,Product P0159,translation_pending,False,
P0160,P0160,Product P0160,translation_pending,False,
P0161,P0161,Product P0161,translation_pending,False,
P0162,P0162,Product P0162,translation_pending,False,
P0163,P0163,Product P0163,translation_pending,False,
P0164,P0164,Product P0164,translation_pending,False,
P0165,P0165,"Honey lemonade, 500 ml",reviewed,False,
P0166,P0166,Product P0166,translation_pending,False,
P0167,P0167,Product P0167,translation_pending,False,
P0168,P0168,Product P0168,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0169,P0169,Product P0169,translation_pending,False,
P0170,P0170,Product P0170,translation_pending,False,
P0171,P0171,Product P0171,translation_pending,False,
P0172,P0172,Product P0172,translation_pending,False,
P0173,P0173,Product P0173,translation_pending,False,
P0174,P0174,Product P0174,translation_pending,False,
P0175,P0175,Product P0175,translation_pending,False,
P0176,P0176,Product P0176,translation_pending,False,
P0177,P0177,Product P0177,translation_pending,False,
P0178,P0178,Product P0178,translation_pending,False,
P0179,P0179,Product P0179,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0180,P0180,Product P0180,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0181,P0181,Product P0181,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0182,P0182,Product P0182,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0183,P0183,Product P0183,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0184,P0184,Product P0184,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0185,P0185,Product P0185,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0186,P0186,Product P0186,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0187,P0187,Product P0187,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0188,P0188,Product P0188,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0189,P0189,Product P0189,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0190,P0190,Product P0190,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0191,P0191,Product P0191,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0192,P0192,Product P0192,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0193,P0193,Product P0193,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0194,P0194,Product P0194,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0195,P0195,Product P0195,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0196,P0196,Product P0196,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0197,P0197,Product P0197,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0198,P0198,Product P0198,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0199,P0199,Product P0199,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0200,P0200,Product P0200,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0201,P0201,Product P0201,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0202,P0202,Product P0202,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0203,P0203,Product P0203,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0204,P0204,Product P0204,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0205,P0205,Product P0205,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0206,P0206,Product P0206,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0207,P0207,Product P0207,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0208,P0208,Product P0208,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0209,P0209,Product P0209,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0210,P0210,Product P0210,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0211,P0211,Product P0211,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0212,P0212,Product P0212,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0213,P0213,Product P0213,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0214,P0214,Product P0214,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0215,P0215,Product P0215,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0216,P0216,Product P0216,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0217,P0217,Product P0217,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0218,P0218,Product P0218,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0219,P0219,Product P0219,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0220,P0220,Product P0220,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0221,P0221,Product P0221,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0222,P0222,Product P0222,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0223,P0223,Product P0223,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0224,P0224,Product P0224,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0225,P0225,Product P0225,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0226,P0226,Product P0226,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0227,P0227,Product P0227,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0228,P0228,Product P0228,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0229,P0229,Product P0229,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0230,P0230,Product P0230,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0231,P0231,Product P0231,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0232,P0232,Product P0232,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0233,P0233,Product P0233,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0234,P0234,Product P0234,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0235,P0235,Product P0235,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0236,P0236,Product P0236,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0237,P0237,Product P0237,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0238,P0238,Product P0238,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0239,P0239,Product P0239,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0240,P0240,Product P0240,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0241,P0241,Product P0241,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0242,P0242,Product P0242,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0243,P0243,Product P0243,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0244,P0244,Product P0244,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0245,P0245,Product P0245,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0246,P0246,Product P0246,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0247,P0247,Product P0247,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0248,P0248,Product P0248,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0249,P0249,Product P0249,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0250,P0250,Product P0250,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0251,P0251,Product P0251,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0252,P0252,Product P0252,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0253,P0253,Product P0253,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0254,P0254,Product P0254,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0255,P0255,Product P0255,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0256,P0256,Product P0256,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0257,P0257,Product P0257,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0258,P0258,Product P0258,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0259,P0259,Product P0259,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0260,P0260,Product P0260,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0261,P0261,Product P0261,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0262,P0262,Product P0262,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0263,P0263,Product P0263,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0264,P0264,Product P0264,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0265,P0265,Product P0265,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0266,P0266,Product P0266,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0267,P0267,Product P0267,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0268,P0268,Product P0268,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0269,P0269,Product P0269,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0270,P0270,Product P0270,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0271,P0271,Product P0271,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0272,P0272,Product P0272,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0273,P0273,Product P0273,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0274,P0274,Product P0274,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0275,P0275,Product P0275,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0276,P0276,Product P0276,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0277,P0277,Product P0277,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0278,P0278,Product P0278,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0279,P0279,Product P0279,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0280,P0280,Product P0280,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0281,P0281,Product P0281,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0282,P0282,Product P0282,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0283,P0283,Product P0283,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0284,P0284,Product P0284,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0285,P0285,Product P0285,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0286,P0286,Product P0286,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0287,P0287,Product P0287,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0288,P0288,Product P0288,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0289,P0289,Product P0289,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0290,P0290,Product P0290,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0291,P0291,Product P0291,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0292,P0292,Product P0292,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0293,P0293,Product P0293,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0294,P0294,Product P0294,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0295,P0295,Product P0295,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0296,P0296,Product P0296,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0297,P0297,Product P0297,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0298,P0298,Product P0298,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0299,P0299,Product P0299,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0300,P0300,Product P0300,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0301,P0301,Product P0301,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0302,P0302,Product P0302,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0303,P0303,Product P0303,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0304,P0304,Product P0304,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0305,P0305,Product P0305,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0306,P0306,Product P0306,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0307,P0307,Product P0307,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0308,P0308,Product P0308,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0309,P0309,Product P0309,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0310,P0310,Product P0310,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0311,P0311,Product P0311,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0312,P0312,Product P0312,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0313,P0313,Product P0313,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0314,P0314,Product P0314,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0315,P0315,Product P0315,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0316,P0316,Product P0316,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0317,P0317,Product P0317,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0318,P0318,Product P0318,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0319,P0319,Product P0319,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0320,P0320,Product P0320,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0321,P0321,Product P0321,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0322,P0322,Product P0322,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0323,P0323,Product P0323,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0324,P0324,Product P0324,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0325,P0325,Product P0325,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0326,P0326,Product P0326,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0327,P0327,Product P0327,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0328,P0328,Product P0328,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0329,P0329,Product P0329,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0330,P0330,Product P0330,redacted_sensitive_review_required,True,event_menu_code|possible_private_event
P0331,P0331,Product P0331,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0332,P0332,Product P0332,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0333,P0333,Product P0333,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0334,P0334,Product P0334,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0335,P0335,Product P0335,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0336,P0336,Product P0336,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0337,P0337,Product P0337,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0338,P0338,Product P0338,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0339,P0339,Product P0339,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0340,P0340,Product P0340,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0341,P0341,Product P0341,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0342,P0342,Product P0342,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0343,P0343,Product P0343,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0344,P0344,Product P0344,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0345,P0345,Product P0345,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0346,P0346,Product P0346,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0347,P0347,Product P0347,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0348,P0348,Product P0348,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0349,P0349,Product P0349,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0350,P0350,Product P0350,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0351,P0351,Product P0351,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0352,P0352,Product P0352,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0353,P0353,Product P0353,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0354,P0354,Product P0354,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0355,P0355,Product P0355,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0356,P0356,Product P0356,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0357,P0357,Product P0357,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0358,P0358,Product P0358,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0359,P0359,Product P0359,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0360,P0360,Product P0360,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0361,P0361,Product P0361,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0362,P0362,Product P0362,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0363,P0363,Product P0363,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0364,P0364,Product P0364,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0365,P0365,Product P0365,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0366,P0366,Product P0366,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0367,P0367,Product P0367,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0368,P0368,Product P0368,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0369,P0369,Product P0369,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0370,P0370,Product P0370,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0371,P0371,Product P0371,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0372,P0372,Product P0372,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0373,P0373,Product P0373,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0374,P0374,Product P0374,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0375,P0375,Product P0375,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0376,P0376,Product P0376,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0377,P0377,Product P0377,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0378,P0378,Product P0378,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0379,P0379,Product P0379,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0380,P0380,Product P0380,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0381,P0381,Product P0381,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0382,P0382,Product P0382,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0383,P0383,Product P0383,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0384,P0384,Product P0384,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0385,P0385,Product P0385,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0386,P0386,Product P0386,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0387,P0387,Product P0387,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0388,P0388,Product P0388,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0389,P0389,Product P0389,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0390,P0390,Product P0390,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0391,P0391,Product P0391,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0392,P0392,Product P0392,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0393,P0393,Product P0393,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0394,P0394,Product P0394,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0395,P0395,Product P0395,redacted_sensitive_review_required,True,contains_date|event_menu_code
P0396,P0396,Product P0396,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0397,P0397,Product P0397,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0398,P0398,Product P0398,redacted_sensitive_review_required,True,contains_date|event_menu_code|possible_private_event
P0399,P0399,Product P0399,redacted_sensitive_review_required,True,contains_date|event_menu_code
